ojos,,orejas,,cuerpo,,nariz,,polo,,aretes,,fondos,,herramienta,,brazos,,cuernos,,boca,,gorra,,frente,
Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity,Trait,Quantity
one,1,C,1,one,1,one,1,NFT,1,one,1,Sierra,1,Diamond,1,Raiz,1,one,1,one,1,one,1,one,1
two,1,C,1,-,0,two,1,two,1,two,1,ColorGris,1,Diamond,1,Estrellas,1,two,1,two,1,two,1,two,1
three,1,A,1,-,0,three,1,XX,1,three,1,DegradeVerde,1,Spray,1,Patron,1,three,1,three,1,three,1,three,1
four,1,A,1,-,0,four,1,Illuminati,1,four,1,Bitcoin,1,Normal,1,Bitcoin,1,four,1,four,1,four,1,four,1
five,1,A,1,-,0,friday,1,Estrella,1,friday,1,Solana,1,Paper,1,Solana,1,-,0,friday,1,-,0,-,0
six,1,A,1,-,0,six,1,MonaLisa,1,six,1,Costa,1,Normal,1,-,0,-,0,six,1,-,0,-,0
seven,1,A,1,-,0,seven,1,Doge,1,seven,1,ColorAzul,1,Diamond,1,-,0,-,0,seven,1,-,0,-,0
eight,1,B,1,-,0,eight,1,Peru,1,eight,1,Selva,1,Paper,1,-,0,-,0,eight,1,-,0,-,0
nine,1,C,1,-,0,nine,1,Satoshi,1,nine,1,Manto,1,Normal,1,-,0,-,0,-,0,-,0,-,0
ten,1,A,1,-,0,ten,1,Solana,1,-,0,Moon,1,Diamond,1,-,0,-,0,-,0,-,0,-,0
eleven,1,C,1,-,0,-,0,IK,1,-,0,DegradeRojo,1,Papel,1,-,0,-,0,-,0,-,0,-,0
-,0,A,1,-,0,-,0,SMB,1,-,0,ColorRojo,1,Normal,1,-,0,-,0,-,0,-,0,-,0
-,0,-,0,-,0,-,0,Degen,1,-,0,Escamas,1,Diamond,1,-,0,-,0,-,0,-,0,-,0
-,0,-,0,-,0,-,0,-,0,-,0,-,0,Paper,1,-,0,-,0,-,0,-,0,-,0
-,0,-,0,-,0,-,0,-,0,-,0,-,0,Normal,1,-,0,-,0,-,0,-,0,-,0
-,0,-,0,-,0,-,0,-,0,-,0,-,0,Diamond,1,-,0,-,0,-,0,-,0,-,0
-,0,-,0,-,0,-,0,-,0,-,0,-,0,Paper,1,-,0,-,0,-,0,-,0,-,0
